worker_id	object_instance	wav_name	transcription_text
3931	914194000000_apple	914194000000_audio.wav	'these the fruit apple it's very healthy so it's a delicious and like it's very nice fruit'
3931	945415000000_tomato	945415000000_audio.wav	'I think this is a tomato a vegetable you can use the $4 with seller you can make a purity and can use it in pasta gravy and and'
3931	979764000000_mug	979764000000_audio.wav	'these cup used to like drink milk from you can pour milk can you can you can drink milk you can also use for sore so it's basically you can do that is used to hold the liquid vitamin you can drink'
4195	744886000000_bread	744886000000_audio.wav	'it's a bread brown it's used to eat Heinrich sandwiches with got a lot of carbs'
4195	779855000000_lettuce	779855000000_audio.wav	'it's green and you can eat it healthy for you yeah'
4195	820758000000_apple	820758000000_audio.wav	'Okay so it's red it's a type of fruits it's super sweet grows from trees'
4195	900188000000_tomato	900188000000_audio.wav	'okay this is Carla tomato I think the tomato a fruit or vegetable with the hook not a fruit I think it's a vegetable and it's also very healthy for you it's kind of sour it's used for things like eating yeah'
4195	942062000000_mug	942062000000_audio.wav	'hey this is a mug it's a can be made out of many materials like plastic and glass ceramic used to drink things'
4195	982844000000_bowl	982844000000_audio.wav	'this is a bowl use it to store food and liquids and anything you want it's comes in many sizes yeah'
6045	535113000000_bread	535113000000_audio.wav	'bread'
6045	576057000000_lettuce	576057000000_audio.wav	'there's a gas lettuce it's the vegetable that's grown and used to eat the humans'
6045	607409000000_apple	607409000000_audio.wav	'apple fruit yeah'
6045	623841000000_tomato	623841000000_audio.wav	'food tomato a vegetable'
6045	655664000000_mug	655664000000_audio.wav	'text mug that is used to drink something with started drinking it and then we drink'
6045	658456000000_mug	658456000000_audio.wav	'it holds liquid'
6045	674853000000_bowl	674853000000_audio.wav	'ball whatever you like food most of the time'
6293	642061000000_bread	642061000000_audio.wav	'so this is a loaf of bread you can eat it when you are hungry there's different ways to eat it you can either slice it or you can pull off some pieces made from wheat flour water you bake it pretty good and feeling lots of carbs'
6293	677138000000_lettuce	677138000000_audio.wav	'this is a head of cabbage it's lots of really good for you you eat it it's green you can like kill off players probably want to wash it cuz sometimes bugs can get in it when you make it when it's grown from the ground the vegetable a vegetable is like good food for you'
6293	765152000000_apple	765152000000_audio.wav	'so this is an apple it's grows on trees and you can pick it from the tree to food sometimes they fall from the tree they come in different colors this one is red but sometimes they can be yellow or orange and you eat it and it's really good for you and it's like sometimes our Chris sometimes they could be mushy is like really refreshing'
6293	821404000000_tomato	821404000000_audio.wav	'so this is a tomato grow some the grounds also read some people aren't sure if it's a fruit or vegetable but also really good for you it's got seeds in it and again you eat it could put it in a salad'
6293	878789000000_mug	878789000000_audio.wav	'so this is a white mug looks like it's made from coal and you put food in it not for you but you could put food in that but you put liquids in it cuz you drink out of it the type of cup you can put like hot drinks in it cold drinks in it it's how you can drink thanks'
6293	937880000000_bowl	937880000000_audio.wav	'so that's a bowl it's kind of like the mug except it's bigger and you tend to put food in it you could put any type of food people prefer to put salad or soup in it and it's just a container that holds your food'
7332	3337230000000_bread	3337230000000_audio.wav	'so it's brown in color and it's edible it's called red and yeah it's made of cereals like you can also see some slices of what it's like it's a stack of slices that's it I guess'
7332	3375799000000_lettuce	3375799000000_audio.wav	'I guess this is cabbage so it's leafy it's one of the leafy vegetable we have and it's also edible yeah it's it's not a solid you can touch it and it's compressed it can be compressed as well and it's slightly yellow down there but sided small cream color'
7332	3423611000000_apple	3423611000000_audio.wav	'yeah it's called Apple so you may find you might get confused with different items as well Adam Zeppelin. But it's like an oedipal thing and it's called a fruit or her and its trading color and also it comes in different colors as green as well and slightly yellow slightly red as well I'm do yeah we usually have it in breakfast or something'
7332	3463876000000_tomato	3463876000000_audio.wav	'so this is call tomato it's again used in salads and it's also a people so it is usually and red in color with red in color and usually comes with this sort of cream factors like five to six petals and it's not complete from but it's on and what's wrong with Aunt oh yeah and it has a lot of seeds inside it but you can always recognize it well with red color'
7332	3503451000000_mug	3503451000000_audio.wav	'then this is called mug or cup so it can be used for drinking coffee drinking water drinking anything like it's mainly for the drinking poppers and it's made for it can be made up of plastic or ceramic are you going to see also but this is off-white color and a cup and use my liver drinking Papas'
7332	3539835000000_bowl	3539835000000_audio.wav	'no this is Patrick Osborne so it's gray color right now but you can it's usually comes in different colors and also in different shapes and it might be made of made of plastic or ceramic also so yeah it's usually to have some soup, some vegetables or anything like that'
7617	727314000000_bread	727314000000_audio.wav	'that is a bread that has a brown color you can cut it up to eat it you can put things on it like chocolates jelly'
7617	752438000000_lettuce	752438000000_audio.wav	'that's a vegetable it has a green color as specifically darker green at the top and lighter going towards the bottom you again need to cut it up you can make a salad with it and make for the sews like olive oil to make it taste better'
7617	778003000000_apple	778003000000_audio.wav	'that's an apple it's a red color with circular shape again you need to cut it to eat it or you can actually bite it to eat it'
7617	804026000000_tomato	804026000000_audio.wav	'I don't remember if it was a vegetable or fruit type but that is a tomato that has a red color with a circular shape you can cut it to eat it so you can mix it with the lettuce we just learned about to make a salad and even put salt'
7617	827032000000_mug	827032000000_audio.wav	'that's a month or you can also call it a cop you can put hot drinks inside of it liquids can also put called liquids in it as well and then hold it to bring the liquid crossed your face to drink it'
7617	854472000000_bowl	854472000000_audio.wav	'that's a cop I told things inside of it it has a great color when you put things inside of it you can eat it from like the things that we learned previously tomatoes and lettuce is can go inside of the'
9327	1517664000000_bread	1517664000000_audio.wav	'this is bread it's brown it's shaped in a loaf you cut it up slices of bread and you can use it for a sandwich or a private thing is its fruit to eat'
9327	1547826000000_lettuce	1547826000000_audio.wav	'that's it this is lettuce it's a vegetable Scott Survivor leafy green head round you can pull it apart and use pieces again for sandwiches or a salad'
9327	1572402000000_apple	1572402000000_audio.wav	'this is Kodak apple fruit it's red an outside kind of like a sphere she's really sweet and crunchy and that's a tasty food to eat'
9327	1601160000000_tomato	1601160000000_audio.wav	'this is called a tomato what's red shaped like a sphere it's also a fruit and food to be eating it can be sliced up and use in sandwiches are made into a sauce'
9327	1624039000000_mug	1624039000000_audio.wav	'this is called a mug this is white and it's a copper container usually used to drink hot fluids like coffee'
9327	1648297000000_bowl	1648297000000_audio.wav	'this is a gray bowl and container can that can be used to hold a large variety of things such as food could be used for soup or salad or to mix up ingredients'
9577	1007954000000_mug	1007954000000_audio.wav	'it is a cup it is a item used to hold liquid it is not edible it is shaped as a cylinder and is Halo there is a semi-circle shaped handle and the color is white'
9577	1079072000000_bowl	1079072000000_audio.wav	'that is a bowl it is used to hold food normally the bowl is not edible it is gray in color it is a semi spear that is Halo'
9577	784851000000_bread	784851000000_audio.wav	'it is a loaf of bread it is dark and light brown in color the bottom part is rectangular in shape with rounded corners and the top part is like a half of a cylinder and shape it is of a medium size'
9577	822931000000_lettuce	822931000000_audio.wav	'that is lettuce it is cone-shaped and nature on the fat end where the surface radius is larger it is dark green and George Dean are aware and it is light green it is a food it is edible'
9577	899778000000_apple	899778000000_audio.wav	'it is an apple which is a food and is edible it is red and color it is spear like in shape and very rounded there is a small cylinder like stem on the top part of the Apple'
9577	954092000000_tomato	954092000000_audio.wav	'that is a tomato it is another edible food it is orange and red and color is spear like in shape as well with a flat top and bottom surface there are five wedge marks that makes a tomato made up of five smaller spheres and there is a green star shaped stem on top of it'
