Method,speech/depth,speech/RGB,text/depth,text/RGB,text/speech/\\depth,text/speech/\\RGB,speech/RGB/\\depth,text/RGB/\\Depth,all
Geometric-2,46.09$\pm$0.25,46.11$\pm$0.19,67.26$\pm$0.62,68.06$\pm$1.14,64.05$\pm$0.92,64.18$\pm$0.39,46.14$\pm$0.09,69.82$\pm$0.73,66.71$\pm$0.48
Geometric-5,46.16$\pm$0.28,46.24$\pm$0.13,75.52$\pm$0.68,76.37$\pm$0.64,74.0$\pm$0.73,74.73$\pm$0.47,46.29$\pm$0.12,77.72$\pm$0.78,76.59$\pm$0.88
Geometric-10,46.57$\pm$0.32,46.53$\pm$0.15,80.95$\pm$0.8,82.25$\pm$0.55,80.34$\pm$0.81,81.48$\pm$0.47,46.7$\pm$0.17,83.0$\pm$0.58,82.55$\pm$0.81
Geometric-25,66.11$\pm$0.52,67.51$\pm$0.49,85.66$\pm$0.41,87.4$\pm$0.29,85.48$\pm$0.26,87.29$\pm$0.34,68.17$\pm$0.39,87.94$\pm$0.31,88.12$\pm$0.26
Geometric-30,67.8$\pm$0.61,69.46$\pm$0.67,86.63$\pm$0.35,88.31$\pm$0.31,86.26$\pm$0.39,88.16$\pm$0.58,70.05$\pm$0.64,88.85$\pm$0.4,88.98$\pm$0.3
Geometric-35,68.99$\pm$0.39,70.76$\pm$0.19,87.16$\pm$0.26,89.02$\pm$0.4,86.7$\pm$0.47,88.8$\pm$0.4,71.29$\pm$0.62,89.53$\pm$0.41,89.53$\pm$0.35
Geometric-45,71.03$\pm$0.58,72.78$\pm$0.64,88.06$\pm$0.43,89.82$\pm$0.43,87.55$\pm$0.32,89.62$\pm$0.34,73.39$\pm$0.85,90.51$\pm$0.28,90.43$\pm$0.29
Geometric-50,71.92$\pm$0.61,73.7$\pm$0.43,88.37$\pm$0.4,90.17$\pm$0.38,87.82$\pm$0.63,89.94$\pm$0.47,74.37$\pm$0.52,90.85$\pm$0.14,90.75$\pm$0.26
Geometric-75,74.96$\pm$0.34,76.68$\pm$0.36,89.28$\pm$0.35,90.83$\pm$0.52,88.82$\pm$0.26,90.56$\pm$0.55,77.42$\pm$0.58,91.82$\pm$0.43,91.68$\pm$0.24
Geometric-100,76.82$\pm$0.34,78.34$\pm$0.29,89.64$\pm$0.38,91.13$\pm$0.73,89.21$\pm$0.45,90.95$\pm$0.83,79.37$\pm$0.29,92.29$\pm$0.51,92.14$\pm$0.45
